,checkin,checkout,location,price
0,2023-07-22,2023-07-23,비엔티안,28921
1,2023-07-22,2023-07-23,비엔티안,14460
2,2023-07-22,2023-07-23,비엔티안,49173
3,2023-07-22,2023-07-23,비엔티안,18808
4,2023-07-22,2023-07-23,비엔티안,67980
5,2023-07-22,2023-07-23,비엔티안,72314
6,2023-07-22,2023-07-23,비엔티안,62257
7,2023-07-22,2023-07-23,비엔티안,69425
8,2023-07-22,2023-07-23,비엔티안,31823
9,2023-07-22,2023-07-23,비엔티안,69425
10,2023-07-22,2023-07-23,비엔티안,39048
11,2023-07-22,2023-07-23,비엔티안,69426
12,2023-07-22,2023-07-23,비엔티안,89664
13,2023-07-22,2023-07-23,비엔티안,18808
14,2023-07-22,2023-07-23,비엔티안,85331
15,2023-07-22,2023-07-23,비엔티안,130169
16,2023-07-22,2023-07-23,비엔티안,43394
17,2023-07-22,2023-07-23,비엔티안,30283
