,checkin,checkout,location,price
0,2023-07-22,2023-07-23,후쿠오카,90926
1,2023-07-22,2023-07-23,후쿠오카,89883
2,2023-07-22,2023-07-23,후쿠오카,213396
3,2023-07-22,2023-07-23,후쿠오카,178593
4,2023-07-22,2023-07-23,후쿠오카,315973
5,2023-07-22,2023-07-23,후쿠오카,184995
6,2023-07-22,2023-07-23,후쿠오카,109216
7,2023-07-22,2023-07-23,후쿠오카,306631
8,2023-07-22,2023-07-23,후쿠오카,256441
9,2023-07-22,2023-07-23,후쿠오카,296968
10,2023-07-22,2023-07-23,후쿠오카,217334
11,2023-07-22,2023-07-23,후쿠오카,550433
12,2023-07-22,2023-07-23,후쿠오카,354438
13,2023-07-22,2023-07-23,후쿠오카,708877
14,2023-07-22,2023-07-23,후쿠오카,778483
15,2023-07-22,2023-07-23,후쿠오카,566003
16,2023-07-22,2023-07-23,후쿠오카,778025
17,2023-07-22,2023-07-23,후쿠오카,188127
