,checkin,checkout,location,price
0,2023-08-04,2023-08-05,괌,170257
1,2023-08-04,2023-08-05,괌,163418
2,2023-08-04,2023-08-05,괌,109435
3,2023-08-04,2023-08-05,괌,220622
4,2023-08-04,2023-08-05,괌,153202
5,2023-08-04,2023-08-05,괌,106520
6,2023-08-04,2023-08-05,괌,172175
7,2023-08-04,2023-08-05,괌,267444
8,2023-08-04,2023-08-05,괌,309548
9,2023-08-04,2023-08-05,괌,226158
10,2023-08-04,2023-08-05,괌,124024
11,2023-08-04,2023-08-05,괌,1911424
12,2023-08-04,2023-08-05,괌,168646
13,2023-08-04,2023-08-05,괌,154659
14,2023-08-04,2023-08-05,괌,141528
15,2023-08-04,2023-08-05,괌,226158
16,2023-08-04,2023-08-05,괌,160503
