,checkin,checkout,location,price
0,2023-08-04,2023-08-05,다낭,30902
1,2023-08-04,2023-08-05,다낭,79283
2,2023-08-04,2023-08-05,다낭,40690
3,2023-08-04,2023-08-05,다낭,58569
4,2023-08-04,2023-08-05,다낭,92886
5,2023-08-04,2023-08-05,다낭,51697
6,2023-08-04,2023-08-05,다낭,70232
7,2023-08-04,2023-08-05,다낭,70439
8,2023-08-04,2023-08-05,다낭,77876
9,2023-08-04,2023-08-05,다낭,28093
10,2023-08-04,2023-08-05,다낭,46238
11,2023-08-04,2023-08-05,다낭,30826
12,2023-08-04,2023-08-05,다낭,24661
13,2023-08-04,2023-08-05,다낭,116723
14,2023-08-04,2023-08-05,다낭,91860
15,2023-08-04,2023-08-05,다낭,45488
16,2023-08-04,2023-08-05,다낭,33908
17,2023-08-04,2023-08-05,다낭,43490
