,checkin,checkout,location,price
0,2023-08-04,2023-08-05,도쿄,170208
1,2023-08-04,2023-08-05,도쿄,161541
2,2023-08-04,2023-08-05,도쿄,103182
3,2023-08-04,2023-08-05,도쿄,138361
4,2023-08-04,2023-08-05,도쿄,87675
5,2023-08-04,2023-08-05,도쿄,135485
6,2023-08-04,2023-08-05,도쿄,118726
7,2023-08-04,2023-08-05,도쿄,136991
8,2023-08-04,2023-08-05,도쿄,156198
9,2023-08-04,2023-08-05,도쿄,123292
10,2023-08-04,2023-08-05,도쿄,130278
11,2023-08-04,2023-08-05,도쿄,87337
12,2023-08-04,2023-08-05,도쿄,140699
13,2023-08-04,2023-08-05,도쿄,132991
14,2023-08-04,2023-08-05,도쿄,170919
15,2023-08-04,2023-08-05,도쿄,196820
16,2023-08-04,2023-08-05,도쿄,178089
17,2023-08-04,2023-08-05,도쿄,202748
