,checkin,checkout,location,price
0,2023-08-04,2023-08-05,방콕,67724
1,2023-08-04,2023-08-05,방콕,33406
2,2023-08-04,2023-08-05,방콕,62400
3,2023-08-04,2023-08-05,방콕,135875
4,2023-08-04,2023-08-05,방콕,98911
5,2023-08-04,2023-08-05,방콕,51113
6,2023-08-04,2023-08-05,방콕,93810
7,2023-08-04,2023-08-05,방콕,62400
8,2023-08-04,2023-08-05,방콕,59207
9,2023-08-04,2023-08-05,방콕,27686
10,2023-08-04,2023-08-05,방콕,33592
11,2023-08-04,2023-08-05,방콕,50016
12,2023-08-04,2023-08-05,방콕,19593
13,2023-08-04,2023-08-05,방콕,29815
14,2023-08-04,2023-08-05,방콕,39393
15,2023-08-04,2023-08-05,방콕,65990
16,2023-08-04,2023-08-05,방콕,23853
17,2023-08-04,2023-08-05,방콕,77521
