,checkin,checkout,location,price
0,2023-08-04,2023-08-05,세부,46166
1,2023-08-04,2023-08-05,세부,46728
2,2023-08-04,2023-08-05,세부,36847
3,2023-08-04,2023-08-05,세부,47261
4,2023-08-04,2023-08-05,세부,44056
5,2023-08-04,2023-08-05,세부,61093
6,2023-08-04,2023-08-05,세부,32042
7,2023-08-04,2023-08-05,세부,38821
8,2023-08-04,2023-08-05,세부,42722
9,2023-08-04,2023-08-05,세부,42896
10,2023-08-04,2023-08-05,세부,64083
11,2023-08-04,2023-08-05,세부,56019
12,2023-08-04,2023-08-05,세부,36046
13,2023-08-04,2023-08-05,세부,64056
14,2023-08-04,2023-08-05,세부,61093
15,2023-08-04,2023-08-05,세부,56073
16,2023-08-04,2023-08-05,세부,48063
17,2023-08-04,2023-08-05,세부,44456
