,checkin,checkout,location,price
0,2023-08-04,2023-08-05,제주도,83877
1,2023-08-04,2023-08-05,제주도,124388
2,2023-08-04,2023-08-05,제주도,70000
3,2023-08-04,2023-08-05,제주도,79882
4,2023-08-04,2023-08-05,제주도,194000
5,2023-08-04,2023-08-05,제주도,285294
6,2023-08-04,2023-08-05,제주도,75318
7,2023-08-04,2023-08-05,제주도,125100
8,2023-08-04,2023-08-05,제주도,171177
9,2023-08-04,2023-08-05,제주도,124388
10,2023-08-04,2023-08-05,제주도,171177
11,2023-08-04,2023-08-05,제주도,57059
12,2023-08-04,2023-08-05,제주도,81000
13,2023-08-04,2023-08-05,제주도,285294
14,2023-08-04,2023-08-05,제주도,203130
15,2023-08-04,2023-08-05,제주도,159765
16,2023-08-04,2023-08-05,제주도,182588
17,2023-08-04,2023-08-05,제주도,318388
