,checkin,checkout,location,price
0,2023-08-04,2023-08-05,하노이,42707
1,2023-08-04,2023-08-05,하노이,45237
2,2023-08-04,2023-08-05,하노이,77330
3,2023-08-04,2023-08-05,하노이,30826
4,2023-08-04,2023-08-05,하노이,97762
5,2023-08-04,2023-08-05,하노이,58589
6,2023-08-04,2023-08-05,하노이,27720
7,2023-08-04,2023-08-05,하노이,37817
8,2023-08-04,2023-08-05,하노이,32059
9,2023-08-04,2023-08-05,하노이,48152
10,2023-08-04,2023-08-05,하노이,59826
11,2023-08-04,2023-08-05,하노이,62741
12,2023-08-04,2023-08-05,하노이,54024
13,2023-08-04,2023-08-05,하노이,77330
14,2023-08-04,2023-08-05,하노이,42308
15,2023-08-04,2023-08-05,하노이,39595
16,2023-08-04,2023-08-05,하노이,37817
17,2023-08-04,2023-08-05,하노이,91860
