,checkin,checkout,location,price
0,2023-08-04,2023-08-05,호치민,102135
1,2023-08-04,2023-08-05,호치민,95560
2,2023-08-04,2023-08-05,호치민,94847
3,2023-08-04,2023-08-05,호치민,87546
4,2023-08-04,2023-08-05,호치민,58368
5,2023-08-04,2023-08-05,호치민,31442
6,2023-08-04,2023-08-05,호치민,110973
7,2023-08-04,2023-08-05,호치민,52404
8,2023-08-04,2023-08-05,호치민,51067
9,2023-08-04,2023-08-05,호치민,65656
10,2023-08-04,2023-08-05,호치민,68584
11,2023-08-04,2023-08-05,호치민,74415
12,2023-08-04,2023-08-05,호치민,33908
13,2023-08-04,2023-08-05,호치민,35020
14,2023-08-04,2023-08-05,호치민,64733
15,2023-08-04,2023-08-05,호치민,31518
16,2023-08-04,2023-08-05,호치민,51067
17,2023-08-04,2023-08-05,호치민,50554
