,checkin,checkout,location,price
0,2023-08-04,2023-08-05,홍콩,144220
1,2023-08-04,2023-08-05,홍콩,128181
2,2023-08-04,2023-08-05,홍콩,85672
3,2023-08-04,2023-08-05,홍콩,97268
4,2023-08-04,2023-08-05,홍콩,97268
5,2023-08-04,2023-08-05,홍콩,62779
6,2023-08-04,2023-08-05,홍콩,106544
7,2023-08-04,2023-08-05,홍콩,65469
8,2023-08-04,2023-08-05,홍콩,120640
9,2023-08-04,2023-08-05,홍콩,111672
10,2023-08-04,2023-08-05,홍콩,97268
11,2023-08-04,2023-08-05,홍콩,116871
12,2023-08-04,2023-08-05,홍콩,117844
13,2023-08-04,2023-08-05,홍콩,153259
14,2023-08-04,2023-08-05,홍콩,101954
15,2023-08-04,2023-08-05,홍콩,115974
16,2023-08-04,2023-08-05,홍콩,129068
17,2023-08-04,2023-08-05,홍콩,97268
