,checkin,checkout,location,price
0,2023-08-05,2023-08-06,마카오,243070
1,2023-08-05,2023-08-06,마카오,205674
2,2023-08-05,2023-08-06,마카오,373952
3,2023-08-05,2023-08-06,마카오,261768
4,2023-08-05,2023-08-06,마카오,448344
5,2023-08-05,2023-08-06,마카오,453825
6,2023-08-05,2023-08-06,마카오,611377
7,2023-08-05,2023-08-06,마카오,747906
8,2023-08-05,2023-08-06,마카오,520691
9,2023-08-05,2023-08-06,마카오,520894
10,2023-08-05,2023-08-06,마카오,611377
11,2023-08-05,2023-08-06,마카오,733654
12,2023-08-05,2023-08-06,마카오,713274
13,2023-08-05,2023-08-06,마카오,726122
14,2023-08-05,2023-08-06,마카오,1776275
15,2023-08-05,2023-08-06,마카오,876308
16,2023-08-05,2023-08-06,마카오,713274
17,2023-08-05,2023-08-06,마카오,713274
