,checkin,checkout,location,price
0,2023-08-05,2023-08-06,삿포로,303865
1,2023-08-05,2023-08-06,삿포로,486366
2,2023-08-05,2023-08-06,삿포로,438003
3,2023-08-05,2023-08-06,삿포로,341242
4,2023-08-05,2023-08-06,삿포로,416531
5,2023-08-05,2023-08-06,삿포로,881207
6,2023-08-05,2023-08-06,삿포로,784755
7,2023-08-05,2023-08-06,삿포로,1216681
8,2023-08-05,2023-08-06,삿포로,2509392
9,2023-08-05,2023-08-06,삿포로,1132967
10,2023-08-05,2023-08-06,삿포로,703953
11,2023-08-05,2023-08-06,삿포로,790048
12,2023-08-05,2023-08-06,삿포로,881207
13,2023-08-05,2023-08-06,삿포로,1012882
14,2023-08-05,2023-08-06,삿포로,864326
15,2023-08-05,2023-08-06,삿포로,1654373
16,2023-08-05,2023-08-06,삿포로,967302
17,2023-08-05,2023-08-06,삿포로,778231
