,checkin,checkout,location,price
0,2023-08-05,2023-08-06,오키나와,164251
1,2023-08-05,2023-08-06,오키나와,310316
2,2023-08-05,2023-08-06,오키나와,260328
3,2023-08-05,2023-08-06,오키나와,158776
4,2023-08-05,2023-08-06,오키나와,218682
5,2023-08-05,2023-08-06,오키나와,262801
6,2023-08-05,2023-08-06,오키나와,71175
7,2023-08-05,2023-08-06,오키나와,82126
8,2023-08-05,2023-08-06,오키나와,46857
9,2023-08-05,2023-08-06,오키나와,276489
10,2023-08-05,2023-08-06,오키나와,161405
11,2023-08-05,2023-08-06,오키나와,93733
12,2023-08-05,2023-08-06,오키나와,62479
13,2023-08-05,2023-08-06,오키나와,84863
14,2023-08-05,2023-08-06,오키나와,123188
15,2023-08-05,2023-08-06,오키나와,177939
16,2023-08-05,2023-08-06,오키나와,77563
17,2023-08-05,2023-08-06,오키나와,224750
