,checkin,checkout,location,price
0,2023-08-05,2023-08-06,타이베이,58219
1,2023-08-05,2023-08-06,타이베이,129050
2,2023-08-05,2023-08-06,타이베이,121288
3,2023-08-05,2023-08-06,타이베이,194061
4,2023-08-05,2023-08-06,타이베이,141033
5,2023-08-05,2023-08-06,타이베이,130991
6,2023-08-05,2023-08-06,타이베이,45604
7,2023-08-05,2023-08-06,타이베이,140208
8,2023-08-05,2023-08-06,타이베이,155588
9,2023-08-05,2023-08-06,타이베이,63069
10,2023-08-05,2023-08-06,타이베이,87328
11,2023-08-05,2023-08-06,타이베이,99456
12,2023-08-05,2023-08-06,타이베이,139724
13,2023-08-05,2023-08-06,타이베이,190228
14,2023-08-05,2023-08-06,타이베이,96953
15,2023-08-05,2023-08-06,타이베이,227779
16,2023-08-05,2023-08-06,타이베이,58219
17,2023-08-05,2023-08-06,타이베이,96060
