,checkin,checkout,location,price
0,2023-07-22,2023-07-23,삿포로,179522
1,2023-07-22,2023-07-23,삿포로,223261
2,2023-07-22,2023-07-23,삿포로,267008
3,2023-07-22,2023-07-23,삿포로,238506
4,2023-07-22,2023-07-23,삿포로,190719
5,2023-07-22,2023-07-23,삿포로,180468
6,2023-07-22,2023-07-23,삿포로,297772
7,2023-07-22,2023-07-23,삿포로,188067
8,2023-07-22,2023-07-23,삿포로,214597
9,2023-07-22,2023-07-23,삿포로,387621
10,2023-07-22,2023-07-23,삿포로,213086
11,2023-07-22,2023-07-23,삿포로,297706
12,2023-07-22,2023-07-23,삿포로,317266
13,2023-07-22,2023-07-23,삿포로,202815
14,2023-07-22,2023-07-23,삿포로,192247
15,2023-07-22,2023-07-23,삿포로,213607
16,2023-07-22,2023-07-23,삿포로,252082
17,2023-07-22,2023-07-23,삿포로,316923
18,2023-07-22,2023-07-23,삿포로,199251
19,2023-07-22,2023-07-23,삿포로,250025
20,2023-07-22,2023-07-23,삿포로,258702
21,2023-07-22,2023-07-23,삿포로,323084
22,2023-07-22,2023-07-23,삿포로,339226
23,2023-07-22,2023-07-23,삿포로,252654
24,2023-07-22,2023-07-23,삿포로,216350
25,2023-07-22,2023-07-23,삿포로,290881
26,2023-07-22,2023-07-23,삿포로,405084
27,2023-07-22,2023-07-23,삿포로,320407
28,2023-07-22,2023-07-23,삿포로,275105
29,2023-07-22,2023-07-23,삿포로,213340
30,2023-07-22,2023-07-23,삿포로,331956
31,2023-07-22,2023-07-23,삿포로,207238
32,2023-07-22,2023-07-23,삿포로,252243
33,2023-07-22,2023-07-23,삿포로,280844
34,2023-07-22,2023-07-23,삿포로,243489
35,2023-07-22,2023-07-23,삿포로,411955
36,2023-07-22,2023-07-23,삿포로,291898
37,2023-07-22,2023-07-23,삿포로,259604
38,2023-07-22,2023-07-23,삿포로,194486
39,2023-07-22,2023-07-23,삿포로,235195
40,2023-07-22,2023-07-23,삿포로,529519
41,2023-07-22,2023-07-23,삿포로,478790
42,2023-07-22,2023-07-23,삿포로,197467
43,2023-07-22,2023-07-23,삿포로,278613
44,2023-07-22,2023-07-23,삿포로,219461
45,2023-07-22,2023-07-23,삿포로,367592
46,2023-07-22,2023-07-23,삿포로,244674
47,2023-07-22,2023-07-23,삿포로,234348
48,2023-07-22,2023-07-23,삿포로,398929
49,2023-07-22,2023-07-23,삿포로,842817
50,2023-07-22,2023-07-23,삿포로,449163
51,2023-07-22,2023-07-23,삿포로,244710
52,2023-07-22,2023-07-23,삿포로,246278
53,2023-07-22,2023-07-23,삿포로,210597
54,2023-07-22,2023-07-23,삿포로,246278
55,2023-07-22,2023-07-23,삿포로,251978
56,2023-07-22,2023-07-23,삿포로,243788
57,2023-07-22,2023-07-23,삿포로,350029
58,2023-07-22,2023-07-23,삿포로,191927
59,2023-07-22,2023-07-23,삿포로,164185
60,2023-07-22,2023-07-23,삿포로,153647
61,2023-07-22,2023-07-23,삿포로,220373
62,2023-07-22,2023-07-23,삿포로,367793
63,2023-07-22,2023-07-23,삿포로,276502
64,2023-07-22,2023-07-23,삿포로,255676
65,2023-07-22,2023-07-23,삿포로,305302
66,2023-07-22,2023-07-23,삿포로,261166
67,2023-07-22,2023-07-23,삿포로,479454
68,2023-07-22,2023-07-23,삿포로,388322
69,2023-07-22,2023-07-23,삿포로,209090
70,2023-07-22,2023-07-23,삿포로,303497
71,2023-07-22,2023-07-23,삿포로,239239
72,2023-07-22,2023-07-23,삿포로,538992
73,2023-07-22,2023-07-23,삿포로,277236
74,2023-07-22,2023-07-23,삿포로,1446373
75,2023-07-22,2023-07-23,삿포로,200271
76,2023-07-22,2023-07-23,삿포로,349267
77,2023-07-22,2023-07-23,삿포로,1697003
78,2023-07-22,2023-07-23,삿포로,580453
79,2023-07-22,2023-07-23,삿포로,620918
80,2023-07-22,2023-07-23,삿포로,561215
81,2023-07-22,2023-07-23,삿포로,797791
82,2023-07-22,2023-07-23,삿포로,641815
83,2023-07-22,2023-07-23,삿포로,378831
84,2023-07-22,2023-07-23,삿포로,365677
85,2023-07-22,2023-07-23,삿포로,72971
86,2023-07-22,2023-07-23,삿포로,109457
87,2023-07-22,2023-07-23,삿포로,334341
88,2023-07-22,2023-07-23,삿포로,364856
89,2023-07-22,2023-07-23,삿포로,191012
90,2023-07-22,2023-07-23,삿포로,380406
91,2023-07-22,2023-07-23,삿포로,51562
92,2023-07-22,2023-07-23,삿포로,200671
93,2023-07-22,2023-07-23,삿포로,392220
94,2023-07-22,2023-07-23,삿포로,304825
95,2023-07-22,2023-07-23,삿포로,229162
96,2023-07-22,2023-07-23,삿포로,335211
97,2023-07-22,2023-07-23,삿포로,190307
98,2023-07-22,2023-07-23,삿포로,111563
99,2023-07-22,2023-07-23,삿포로,277619
