,checkin,checkout,location,price
0,2023-07-22,2023-07-23,세부,63088
1,2023-07-22,2023-07-23,세부,90050
2,2023-07-22,2023-07-23,세부,87490
3,2023-07-22,2023-07-23,세부,36452
4,2023-07-22,2023-07-23,세부,40251
5,2023-07-22,2023-07-23,세부,143452
6,2023-07-22,2023-07-23,세부,96494
7,2023-07-22,2023-07-23,세부,39572
8,2023-07-22,2023-07-23,세부,55963
9,2023-07-22,2023-07-23,세부,83767
10,2023-07-22,2023-07-23,세부,60133
11,2023-07-22,2023-07-23,세부,62513
12,2023-07-22,2023-07-23,세부,52846
13,2023-07-22,2023-07-23,세부,47032
14,2023-07-22,2023-07-23,세부,32415
15,2023-07-22,2023-07-23,세부,21989
16,2023-07-22,2023-07-23,세부,37863
17,2023-07-22,2023-07-23,세부,46973
18,2023-07-22,2023-07-23,세부,45966
19,2023-07-22,2023-07-23,세부,49640
20,2023-07-22,2023-07-23,세부,52888
21,2023-07-22,2023-07-23,세부,68560
22,2023-07-22,2023-07-23,세부,76773
23,2023-07-22,2023-07-23,세부,27949
24,2023-07-22,2023-07-23,세부,27224
25,2023-07-22,2023-07-23,세부,34125
26,2023-07-22,2023-07-23,세부,26618
27,2023-07-22,2023-07-23,세부,38908
28,2023-07-22,2023-07-23,세부,49731
29,2023-07-22,2023-07-23,세부,24458
30,2023-07-22,2023-07-23,세부,32745
31,2023-07-22,2023-07-23,세부,40844
32,2023-07-22,2023-07-23,세부,30073
33,2023-07-22,2023-07-23,세부,41200
34,2023-07-22,2023-07-23,세부,34121
35,2023-07-22,2023-07-23,세부,121458
36,2023-07-22,2023-07-23,세부,108140
37,2023-07-22,2023-07-23,세부,67806
38,2023-07-22,2023-07-23,세부,37192
39,2023-07-22,2023-07-23,세부,51980
40,2023-07-22,2023-07-23,세부,66741
41,2023-07-22,2023-07-23,세부,41883
42,2023-07-22,2023-07-23,세부,33265
43,2023-07-22,2023-07-23,세부,48506
44,2023-07-22,2023-07-23,세부,36566
45,2023-07-22,2023-07-23,세부,35448
46,2023-07-22,2023-07-23,세부,32802
47,2023-07-22,2023-07-23,세부,33025
48,2023-07-22,2023-07-23,세부,40657
49,2023-07-22,2023-07-23,세부,22701
50,2023-07-22,2023-07-23,세부,24507
51,2023-07-22,2023-07-23,세부,65993
52,2023-07-22,2023-07-23,세부,61039
53,2023-07-22,2023-07-23,세부,25017
54,2023-07-22,2023-07-23,세부,25730
55,2023-07-22,2023-07-23,세부,31759
56,2023-07-22,2023-07-23,세부,44634
57,2023-07-22,2023-07-23,세부,33255
58,2023-07-22,2023-07-23,세부,47672
59,2023-07-22,2023-07-23,세부,36226
60,2023-07-22,2023-07-23,세부,64752
61,2023-07-22,2023-07-23,세부,48895
62,2023-07-22,2023-07-23,세부,25292
63,2023-07-22,2023-07-23,세부,37230
64,2023-07-22,2023-07-23,세부,36610
65,2023-07-22,2023-07-23,세부,62256
66,2023-07-22,2023-07-23,세부,26431
67,2023-07-22,2023-07-23,세부,102174
68,2023-07-22,2023-07-23,세부,28028
69,2023-07-22,2023-07-23,세부,22263
70,2023-07-22,2023-07-23,세부,45107
71,2023-07-22,2023-07-23,세부,27713
72,2023-07-22,2023-07-23,세부,22771
73,2023-07-22,2023-07-23,세부,23239
74,2023-07-22,2023-07-23,세부,57394
75,2023-07-22,2023-07-23,세부,54094
76,2023-07-22,2023-07-23,세부,15728
77,2023-07-22,2023-07-23,세부,32195
78,2023-07-22,2023-07-23,세부,134852
79,2023-07-22,2023-07-23,세부,29898
80,2023-07-22,2023-07-23,세부,34030
81,2023-07-22,2023-07-23,세부,15279
82,2023-07-22,2023-07-23,세부,33970
83,2023-07-22,2023-07-23,세부,111462
84,2023-07-22,2023-07-23,세부,21518
85,2023-07-22,2023-07-23,세부,24009
86,2023-07-22,2023-07-23,세부,21712
87,2023-07-22,2023-07-23,세부,108033
88,2023-07-22,2023-07-23,세부,56195
89,2023-07-22,2023-07-23,세부,22319
90,2023-07-22,2023-07-23,세부,45976
91,2023-07-22,2023-07-23,세부,27231
92,2023-07-22,2023-07-23,세부,22906
93,2023-07-22,2023-07-23,세부,21070
94,2023-07-22,2023-07-23,세부,47108
95,2023-07-22,2023-07-23,세부,15027
96,2023-07-22,2023-07-23,세부,29403
97,2023-07-22,2023-07-23,세부,23224
98,2023-07-22,2023-07-23,세부,33991
99,2023-07-22,2023-07-23,세부,22279
