,checkin,checkout,location,price
0,2023-07-22,2023-07-23,제주도,345780
1,2023-07-22,2023-07-23,제주도,600000
2,2023-07-22,2023-07-23,제주도,134298
3,2023-07-22,2023-07-23,제주도,120000
4,2023-07-22,2023-07-23,제주도,142500
5,2023-07-22,2023-07-23,제주도,333000
6,2023-07-22,2023-07-23,제주도,390000
7,2023-07-22,2023-07-23,제주도,83234
8,2023-07-22,2023-07-23,제주도,86777
9,2023-07-22,2023-07-23,제주도,38309
10,2023-07-22,2023-07-23,제주도,70363
11,2023-07-22,2023-07-23,제주도,45540
12,2023-07-22,2023-07-23,제주도,390000
13,2023-07-22,2023-07-23,제주도,423000
14,2023-07-22,2023-07-23,제주도,198347
15,2023-07-22,2023-07-23,제주도,146364
16,2023-07-22,2023-07-23,제주도,67500
17,2023-07-22,2023-07-23,제주도,146364
18,2023-07-22,2023-07-23,제주도,58078
19,2023-07-22,2023-07-23,제주도,1053000
20,2023-07-22,2023-07-23,제주도,81484
21,2023-07-22,2023-07-23,제주도,50818
22,2023-07-22,2023-07-23,제주도,47473
23,2023-07-22,2023-07-23,제주도,62545
24,2023-07-22,2023-07-23,제주도,158073
25,2023-07-22,2023-07-23,제주도,33636
26,2023-07-22,2023-07-23,제주도,136364
27,2023-07-22,2023-07-23,제주도,244546
28,2023-07-22,2023-07-23,제주도,906818
29,2023-07-22,2023-07-23,제주도,260000
30,2023-07-22,2023-07-23,제주도,76364
31,2023-07-22,2023-07-23,제주도,200866
32,2023-07-22,2023-07-23,제주도,63363
33,2023-07-22,2023-07-23,제주도,68800
34,2023-07-22,2023-07-23,제주도,350000
35,2023-07-22,2023-07-23,제주도,101996
36,2023-07-22,2023-07-23,제주도,454545
37,2023-07-22,2023-07-23,제주도,345780
38,2023-07-22,2023-07-23,제주도,600000
39,2023-07-22,2023-07-23,제주도,289091
40,2023-07-22,2023-07-23,제주도,140637
41,2023-07-22,2023-07-23,제주도,250546
42,2023-07-22,2023-07-23,제주도,72727
43,2023-07-22,2023-07-23,제주도,267956
44,2023-07-22,2023-07-23,제주도,121763
45,2023-07-22,2023-07-23,제주도,56727
46,2023-07-22,2023-07-23,제주도,292009
47,2023-07-22,2023-07-23,제주도,122045
48,2023-07-22,2023-07-23,제주도,637500
49,2023-07-22,2023-07-23,제주도,47209
50,2023-07-22,2023-07-23,제주도,177754
51,2023-07-22,2023-07-23,제주도,52727
52,2023-07-22,2023-07-23,제주도,158824
53,2023-07-22,2023-07-23,제주도,84000
54,2023-07-22,2023-07-23,제주도,99760
55,2023-07-22,2023-07-23,제주도,505826
56,2023-07-22,2023-07-23,제주도,56789
57,2023-07-22,2023-07-23,제주도,244546
58,2023-07-22,2023-07-23,제주도,330000
59,2023-07-22,2023-07-23,제주도,327273
60,2023-07-22,2023-07-23,제주도,263636
61,2023-07-22,2023-07-23,제주도,63636
62,2023-07-22,2023-07-23,제주도,35637
63,2023-07-22,2023-07-23,제주도,66909
64,2023-07-22,2023-07-23,제주도,160005
65,2023-07-22,2023-07-23,제주도,76255
66,2023-07-22,2023-07-23,제주도,151130
67,2023-07-22,2023-07-23,제주도,43350
68,2023-07-22,2023-07-23,제주도,263560
69,2023-07-22,2023-07-23,제주도,63000
70,2023-07-22,2023-07-23,제주도,288418
71,2023-07-22,2023-07-23,제주도,57275
72,2023-07-22,2023-07-23,제주도,41850
73,2023-07-22,2023-07-23,제주도,333000
74,2023-07-22,2023-07-23,제주도,185454
75,2023-07-22,2023-07-23,제주도,109345
76,2023-07-22,2023-07-23,제주도,72759
77,2023-07-22,2023-07-23,제주도,59689
78,2023-07-22,2023-07-23,제주도,41364
79,2023-07-22,2023-07-23,제주도,31636
80,2023-07-22,2023-07-23,제주도,50073
81,2023-07-22,2023-07-23,제주도,99527
82,2023-07-22,2023-07-23,제주도,197018
83,2023-07-22,2023-07-23,제주도,247000
84,2023-07-22,2023-07-23,제주도,68182
85,2023-07-22,2023-07-23,제주도,49587
86,2023-07-22,2023-07-23,제주도,128727
87,2023-07-22,2023-07-23,제주도,76364
88,2023-07-22,2023-07-23,제주도,86932
89,2023-07-22,2023-07-23,제주도,245700
90,2023-07-22,2023-07-23,제주도,97455
91,2023-07-22,2023-07-23,제주도,47472
92,2023-07-22,2023-07-23,제주도,85093
93,2023-07-22,2023-07-23,제주도,280909
94,2023-07-22,2023-07-23,제주도,109091
95,2023-07-22,2023-07-23,제주도,99318
96,2023-07-22,2023-07-23,제주도,75000
97,2023-07-22,2023-07-23,제주도,100455
98,2023-07-22,2023-07-23,제주도,123637
99,2023-07-22,2023-07-23,제주도,50227
