,checkin,checkout,location,price
0,2023-07-22,2023-07-23,타이베이,184746
1,2023-07-22,2023-07-23,타이베이,227380
2,2023-07-22,2023-07-23,타이베이,105199
3,2023-07-22,2023-07-23,타이베이,142752
4,2023-07-22,2023-07-23,타이베이,159655
5,2023-07-22,2023-07-23,타이베이,211036
6,2023-07-22,2023-07-23,타이베이,393935
7,2023-07-22,2023-07-23,타이베이,192384
8,2023-07-22,2023-07-23,타이베이,492419
9,2023-07-22,2023-07-23,타이베이,120796
10,2023-07-22,2023-07-23,타이베이,184746
11,2023-07-22,2023-07-23,타이베이,213169
12,2023-07-22,2023-07-23,타이베이,230288
13,2023-07-22,2023-07-23,타이베이,241590
14,2023-07-22,2023-07-23,타이베이,173370
15,2023-07-22,2023-07-23,타이베이,84411
16,2023-07-22,2023-07-23,타이베이,115512
17,2023-07-22,2023-07-23,타이베이,492692
18,2023-07-22,2023-07-23,타이베이,161616
19,2023-07-22,2023-07-23,타이베이,191852
20,2023-07-22,2023-07-23,타이베이,250126
21,2023-07-22,2023-07-23,타이베이,227380
22,2023-07-22,2023-07-23,타이베이,214874
23,2023-07-22,2023-07-23,타이베이,262039
24,2023-07-22,2023-07-23,타이베이,120866
25,2023-07-22,2023-07-23,타이베이,111515
26,2023-07-22,2023-07-23,타이베이,115124
27,2023-07-22,2023-07-23,타이베이,373418
28,2023-07-22,2023-07-23,타이베이,220274
29,2023-07-22,2023-07-23,타이베이,161857
30,2023-07-22,2023-07-23,타이베이,142041
31,2023-07-22,2023-07-23,타이베이,139958
32,2023-07-22,2023-07-23,타이베이,108005
33,2023-07-22,2023-07-23,타이베이,155112
34,2023-07-22,2023-07-23,타이베이,270351
35,2023-07-22,2023-07-23,타이베이,141202
36,2023-07-22,2023-07-23,타이베이,139891
37,2023-07-22,2023-07-23,타이베이,85423
38,2023-07-22,2023-07-23,타이베이,155664
39,2023-07-22,2023-07-23,타이베이,187588
40,2023-07-22,2023-07-23,타이베이,231806
41,2023-07-22,2023-07-23,타이베이,361107
42,2023-07-22,2023-07-23,타이베이,245842
43,2023-07-22,2023-07-23,타이베이,105181
44,2023-07-22,2023-07-23,타이베이,154192
45,2023-07-22,2023-07-23,타이베이,307762
46,2023-07-22,2023-07-23,타이베이,92263
47,2023-07-22,2023-07-23,타이베이,287777
48,2023-07-22,2023-07-23,타이베이,104495
49,2023-07-22,2023-07-23,타이베이,276986
50,2023-07-22,2023-07-23,타이베이,242479
51,2023-07-22,2023-07-23,타이베이,151866
52,2023-07-22,2023-07-23,타이베이,151227
53,2023-07-22,2023-07-23,타이베이,140817
54,2023-07-22,2023-07-23,타이베이,236494
55,2023-07-22,2023-07-23,타이베이,117330
56,2023-07-22,2023-07-23,타이베이,87665
57,2023-07-22,2023-07-23,타이베이,114471
58,2023-07-22,2023-07-23,타이베이,200433
59,2023-07-22,2023-07-23,타이베이,121506
60,2023-07-22,2023-07-23,타이베이,202510
61,2023-07-22,2023-07-23,타이베이,167657
62,2023-07-22,2023-07-23,타이베이,214873
63,2023-07-22,2023-07-23,타이베이,335397
64,2023-07-22,2023-07-23,타이베이,312647
65,2023-07-22,2023-07-23,타이베이,233675
66,2023-07-22,2023-07-23,타이베이,163074
67,2023-07-22,2023-07-23,타이베이,306001
68,2023-07-22,2023-07-23,타이베이,238358
69,2023-07-22,2023-07-23,타이베이,133816
70,2023-07-22,2023-07-23,타이베이,134296
71,2023-07-22,2023-07-23,타이베이,234433
72,2023-07-22,2023-07-23,타이베이,492419
73,2023-07-22,2023-07-23,타이베이,195326
74,2023-07-22,2023-07-23,타이베이,125556
75,2023-07-22,2023-07-23,타이베이,271790
76,2023-07-22,2023-07-23,타이베이,215993
77,2023-07-22,2023-07-23,타이베이,144975
78,2023-07-22,2023-07-23,타이베이,142951
79,2023-07-22,2023-07-23,타이베이,189933
80,2023-07-22,2023-07-23,타이베이,187332
81,2023-07-22,2023-07-23,타이베이,143622
82,2023-07-22,2023-07-23,타이베이,270014
83,2023-07-22,2023-07-23,타이베이,119225
84,2023-07-22,2023-07-23,타이베이,296261
85,2023-07-22,2023-07-23,타이베이,146073
86,2023-07-22,2023-07-23,타이베이,160302
87,2023-07-22,2023-07-23,타이베이,122732
88,2023-07-22,2023-07-23,타이베이,115718
89,2023-07-22,2023-07-23,타이베이,128332
90,2023-07-22,2023-07-23,타이베이,180511
91,2023-07-22,2023-07-23,타이베이,123442
92,2023-07-22,2023-07-23,타이베이,196204
93,2023-07-22,2023-07-23,타이베이,149644
94,2023-07-22,2023-07-23,타이베이,132953
95,2023-07-22,2023-07-23,타이베이,112212
96,2023-07-22,2023-07-23,타이베이,102321
97,2023-07-22,2023-07-23,타이베이,129223
98,2023-07-22,2023-07-23,타이베이,103089
99,2023-07-22,2023-07-23,타이베이,176925
