,checkin,checkout,location,price
0,2023-07-22,2023-07-23,호치민,385495
1,2023-07-22,2023-07-23,호치민,86826
2,2023-07-22,2023-07-23,호치민,113427
3,2023-07-22,2023-07-23,호치민,102521
4,2023-07-22,2023-07-23,호치민,85694
5,2023-07-22,2023-07-23,호치민,52715
6,2023-07-22,2023-07-23,호치민,154758
7,2023-07-22,2023-07-23,호치민,34844
8,2023-07-22,2023-07-23,호치민,112942
9,2023-07-22,2023-07-23,호치민,65534
10,2023-07-22,2023-07-23,호치민,109594
11,2023-07-22,2023-07-23,호치민,68218
12,2023-07-22,2023-07-23,호치민,98413
13,2023-07-22,2023-07-23,호치민,77828
14,2023-07-22,2023-07-23,호치민,177266
15,2023-07-22,2023-07-23,호치민,183128
16,2023-07-22,2023-07-23,호치민,92675
17,2023-07-22,2023-07-23,호치민,176685
18,2023-07-22,2023-07-23,호치민,68498
19,2023-07-22,2023-07-23,호치민,82028
20,2023-07-22,2023-07-23,호치민,221559
21,2023-07-22,2023-07-23,호치민,65736
22,2023-07-22,2023-07-23,호치민,174534
23,2023-07-22,2023-07-23,호치민,128423
24,2023-07-22,2023-07-23,호치민,57873
25,2023-07-22,2023-07-23,호치민,164031
26,2023-07-22,2023-07-23,호치민,134376
27,2023-07-22,2023-07-23,호치민,161586
28,2023-07-22,2023-07-23,호치민,84051
29,2023-07-22,2023-07-23,호치민,95995
30,2023-07-22,2023-07-23,호치민,137574
31,2023-07-22,2023-07-23,호치민,96090
32,2023-07-22,2023-07-23,호치민,159112
33,2023-07-22,2023-07-23,호치민,155269
34,2023-07-22,2023-07-23,호치민,71431
35,2023-07-22,2023-07-23,호치민,77826
36,2023-07-22,2023-07-23,호치민,182917
37,2023-07-22,2023-07-23,호치민,77634
38,2023-07-22,2023-07-23,호치민,125152
39,2023-07-22,2023-07-23,호치민,95561
40,2023-07-22,2023-07-23,호치민,86826
41,2023-07-22,2023-07-23,호치민,80342
42,2023-07-22,2023-07-23,호치민,30689
43,2023-07-22,2023-07-23,호치민,76346
44,2023-07-22,2023-07-23,호치민,197459
45,2023-07-22,2023-07-23,호치민,40642
46,2023-07-22,2023-07-23,호치민,157186
47,2023-07-22,2023-07-23,호치민,100393
48,2023-07-22,2023-07-23,호치민,116638
49,2023-07-22,2023-07-23,호치민,308872
50,2023-07-22,2023-07-23,호치민,87107
51,2023-07-22,2023-07-23,호치민,92791
52,2023-07-22,2023-07-23,호치민,61980
53,2023-07-22,2023-07-23,호치민,214164
54,2023-07-22,2023-07-23,호치민,65728
55,2023-07-22,2023-07-23,호치민,190187
56,2023-07-22,2023-07-23,호치민,45892
57,2023-07-22,2023-07-23,호치민,103116
58,2023-07-22,2023-07-23,호치민,176274
59,2023-07-22,2023-07-23,호치민,54561
60,2023-07-22,2023-07-23,호치민,67244
61,2023-07-22,2023-07-23,호치민,29448
62,2023-07-22,2023-07-23,호치민,85843
63,2023-07-22,2023-07-23,호치민,60026
64,2023-07-22,2023-07-23,호치민,59007
65,2023-07-22,2023-07-23,호치민,145632
66,2023-07-22,2023-07-23,호치민,138777
67,2023-07-22,2023-07-23,호치민,34518
68,2023-07-22,2023-07-23,호치민,63268
69,2023-07-22,2023-07-23,호치민,130897
70,2023-07-22,2023-07-23,호치민,156056
71,2023-07-22,2023-07-23,호치민,385495
72,2023-07-22,2023-07-23,호치민,48713
73,2023-07-22,2023-07-23,호치민,42101
74,2023-07-22,2023-07-23,호치민,56303
75,2023-07-22,2023-07-23,호치민,84324
76,2023-07-22,2023-07-23,호치민,147639
77,2023-07-22,2023-07-23,호치민,102561
78,2023-07-22,2023-07-23,호치민,89235
79,2023-07-22,2023-07-23,호치민,80220
80,2023-07-22,2023-07-23,호치민,93856
81,2023-07-22,2023-07-23,호치민,46751
82,2023-07-22,2023-07-23,호치민,81781
83,2023-07-22,2023-07-23,호치민,49568
84,2023-07-22,2023-07-23,호치민,69623
85,2023-07-22,2023-07-23,호치민,140793
86,2023-07-22,2023-07-23,호치민,23607
87,2023-07-22,2023-07-23,호치민,265871
88,2023-07-22,2023-07-23,호치민,76809
89,2023-07-22,2023-07-23,호치민,122153
90,2023-07-22,2023-07-23,호치민,143966
91,2023-07-22,2023-07-23,호치민,60758
92,2023-07-22,2023-07-23,호치민,116050
93,2023-07-22,2023-07-23,호치민,30028
94,2023-07-22,2023-07-23,호치민,56858
95,2023-07-22,2023-07-23,호치민,33280
96,2023-07-22,2023-07-23,호치민,92662
97,2023-07-22,2023-07-23,호치민,96177
98,2023-07-22,2023-07-23,호치민,192948
99,2023-07-22,2023-07-23,호치민,52399
