,checkin,checkout,location,price
0,2023-08-04,2023-08-05,괌,159437
1,2023-08-04,2023-08-05,괌,129287
2,2023-08-04,2023-08-05,괌,235067
3,2023-08-04,2023-08-05,괌,126732
4,2023-08-04,2023-08-05,괌,370487
5,2023-08-04,2023-08-05,괌,425421
6,2023-08-04,2023-08-05,괌,421588
7,2023-08-04,2023-08-05,괌,196230
8,2023-08-04,2023-08-05,괌,436919
9,2023-08-04,2023-08-05,괌,298506
10,2023-08-04,2023-08-05,괌,178856
11,2023-08-04,2023-08-05,괌,339379
12,2023-08-04,2023-08-05,괌,662913
13,2023-08-04,2023-08-05,괌,241455
14,2023-08-04,2023-08-05,괌,472690
15,2023-08-04,2023-08-05,괌,181283
16,2023-08-04,2023-08-05,괌,135899
17,2023-08-04,2023-08-05,괌,122233
18,2023-08-04,2023-08-05,괌,357711
19,2023-08-04,2023-08-05,괌,106199
20,2023-08-04,2023-08-05,괌,127754
21,2023-08-04,2023-08-05,괌,404725
22,2023-08-04,2023-08-05,괌,90402
23,2023-08-04,2023-08-05,괌,424634
