,checkin,checkout,location,price
0,2023-08-04,2023-08-05,다낭,87861
1,2023-08-04,2023-08-05,다낭,269895
2,2023-08-04,2023-08-05,다낭,121453
3,2023-08-04,2023-08-05,다낭,59857
4,2023-08-04,2023-08-05,다낭,97676
5,2023-08-04,2023-08-05,다낭,114705
6,2023-08-04,2023-08-05,다낭,247404
7,2023-08-04,2023-08-05,다낭,238047
8,2023-08-04,2023-08-05,다낭,120293
9,2023-08-04,2023-08-05,다낭,98583
10,2023-08-04,2023-08-05,다낭,639752
11,2023-08-04,2023-08-05,다낭,92455
12,2023-08-04,2023-08-05,다낭,242906
13,2023-08-04,2023-08-05,다낭,836789
14,2023-08-04,2023-08-05,다낭,62642
15,2023-08-04,2023-08-05,다낭,82421
16,2023-08-04,2023-08-05,다낭,270728
17,2023-08-04,2023-08-05,다낭,865207
18,2023-08-04,2023-08-05,다낭,27721
19,2023-08-04,2023-08-05,다낭,94155
20,2023-08-04,2023-08-05,다낭,124152
21,2023-08-04,2023-08-05,다낭,82218
22,2023-08-04,2023-08-05,다낭,157137
23,2023-08-04,2023-08-05,다낭,245604
24,2023-08-04,2023-08-05,다낭,104626
25,2023-08-04,2023-08-05,다낭,99390
26,2023-08-04,2023-08-05,다낭,50049
27,2023-08-04,2023-08-05,다낭,142802
28,2023-08-04,2023-08-05,다낭,109344
29,2023-08-04,2023-08-05,다낭,94058
30,2023-08-04,2023-08-05,다낭,198214
31,2023-08-04,2023-08-05,다낭,119058
32,2023-08-04,2023-08-05,다낭,56849
33,2023-08-04,2023-08-05,다낭,46925
34,2023-08-04,2023-08-05,다낭,76662
35,2023-08-04,2023-08-05,다낭,94153
36,2023-08-04,2023-08-05,다낭,49766
37,2023-08-04,2023-08-05,다낭,97162
38,2023-08-04,2023-08-05,다낭,30930
39,2023-08-04,2023-08-05,다낭,43697
40,2023-08-04,2023-08-05,다낭,47691
41,2023-08-04,2023-08-05,다낭,65974
42,2023-08-04,2023-08-05,다낭,96150
43,2023-08-04,2023-08-05,다낭,44983
44,2023-08-04,2023-08-05,다낭,65870
45,2023-08-04,2023-08-05,다낭,98041
46,2023-08-04,2023-08-05,다낭,39087
47,2023-08-04,2023-08-05,다낭,46839
48,2023-08-04,2023-08-05,다낭,58478
49,2023-08-04,2023-08-05,다낭,224339
50,2023-08-04,2023-08-05,다낭,128522
51,2023-08-04,2023-08-05,다낭,69914
52,2023-08-04,2023-08-05,다낭,52094
53,2023-08-04,2023-08-05,다낭,33259
54,2023-08-04,2023-08-05,다낭,53588
55,2023-08-04,2023-08-05,다낭,91421
56,2023-08-04,2023-08-05,다낭,133282
57,2023-08-04,2023-08-05,다낭,39166
58,2023-08-04,2023-08-05,다낭,45696
59,2023-08-04,2023-08-05,다낭,102817
60,2023-08-04,2023-08-05,다낭,99128
61,2023-08-04,2023-08-05,다낭,42849
62,2023-08-04,2023-08-05,다낭,388651
63,2023-08-04,2023-08-05,다낭,75663
64,2023-08-04,2023-08-05,다낭,98876
65,2023-08-04,2023-08-05,다낭,91446
66,2023-08-04,2023-08-05,다낭,48538
67,2023-08-04,2023-08-05,다낭,44782
68,2023-08-04,2023-08-05,다낭,46103
69,2023-08-04,2023-08-05,다낭,47339
70,2023-08-04,2023-08-05,다낭,46410
71,2023-08-04,2023-08-05,다낭,61262
72,2023-08-04,2023-08-05,다낭,34569
73,2023-08-04,2023-08-05,다낭,123435
74,2023-08-04,2023-08-05,다낭,128522
75,2023-08-04,2023-08-05,다낭,47125
76,2023-08-04,2023-08-05,다낭,36843
77,2023-08-04,2023-08-05,다낭,33558
78,2023-08-04,2023-08-05,다낭,80540
79,2023-08-04,2023-08-05,다낭,86871
80,2023-08-04,2023-08-05,다낭,90231
81,2023-08-04,2023-08-05,다낭,38547
82,2023-08-04,2023-08-05,다낭,40508
83,2023-08-04,2023-08-05,다낭,56978
84,2023-08-04,2023-08-05,다낭,36474
85,2023-08-04,2023-08-05,다낭,58644
86,2023-08-04,2023-08-05,다낭,61476
87,2023-08-04,2023-08-05,다낭,176791
88,2023-08-04,2023-08-05,다낭,47553
89,2023-08-04,2023-08-05,다낭,40289
90,2023-08-04,2023-08-05,다낭,48195
91,2023-08-04,2023-08-05,다낭,72383
92,2023-08-04,2023-08-05,다낭,38842
93,2023-08-04,2023-08-05,다낭,35557
94,2023-08-04,2023-08-05,다낭,34034
95,2023-08-04,2023-08-05,다낭,69801
96,2023-08-04,2023-08-05,다낭,36299
97,2023-08-04,2023-08-05,다낭,28084
98,2023-08-04,2023-08-05,다낭,53255
99,2023-08-04,2023-08-05,다낭,48586
