,checkin,checkout,location,price
0,2023-08-04,2023-08-05,도쿄,120162
1,2023-08-04,2023-08-05,도쿄,206861
2,2023-08-04,2023-08-05,도쿄,198496
3,2023-08-04,2023-08-05,도쿄,127444
4,2023-08-04,2023-08-05,도쿄,204542
5,2023-08-04,2023-08-05,도쿄,157380
6,2023-08-04,2023-08-05,도쿄,421309
7,2023-08-04,2023-08-05,도쿄,144194
8,2023-08-04,2023-08-05,도쿄,121375
9,2023-08-04,2023-08-05,도쿄,75101
10,2023-08-04,2023-08-05,도쿄,117492
11,2023-08-04,2023-08-05,도쿄,109021
12,2023-08-04,2023-08-05,도쿄,421309
13,2023-08-04,2023-08-05,도쿄,121375
14,2023-08-04,2023-08-05,도쿄,111514
15,2023-08-04,2023-08-05,도쿄,161410
16,2023-08-04,2023-08-05,도쿄,312418
17,2023-08-04,2023-08-05,도쿄,286734
18,2023-08-04,2023-08-05,도쿄,193261
19,2023-08-04,2023-08-05,도쿄,130508
20,2023-08-04,2023-08-05,도쿄,194581
21,2023-08-04,2023-08-05,도쿄,112269
22,2023-08-04,2023-08-05,도쿄,685675
23,2023-08-04,2023-08-05,도쿄,76732
24,2023-08-04,2023-08-05,도쿄,234316
25,2023-08-04,2023-08-05,도쿄,143413
26,2023-08-04,2023-08-05,도쿄,157713
27,2023-08-04,2023-08-05,도쿄,122134
28,2023-08-04,2023-08-05,도쿄,105761
29,2023-08-04,2023-08-05,도쿄,184248
30,2023-08-04,2023-08-05,도쿄,191089
31,2023-08-04,2023-08-05,도쿄,283293
32,2023-08-04,2023-08-05,도쿄,83294
33,2023-08-04,2023-08-05,도쿄,367162
34,2023-08-04,2023-08-05,도쿄,112269
35,2023-08-04,2023-08-05,도쿄,436923
36,2023-08-04,2023-08-05,도쿄,104683
37,2023-08-04,2023-08-05,도쿄,222898
38,2023-08-04,2023-08-05,도쿄,109398
39,2023-08-04,2023-08-05,도쿄,141302
40,2023-08-04,2023-08-05,도쿄,146029
41,2023-08-04,2023-08-05,도쿄,171648
42,2023-08-04,2023-08-05,도쿄,185809
43,2023-08-04,2023-08-05,도쿄,130479
44,2023-08-04,2023-08-05,도쿄,110082
45,2023-08-04,2023-08-05,도쿄,119859
46,2023-08-04,2023-08-05,도쿄,437910
47,2023-08-04,2023-08-05,도쿄,88245
48,2023-08-04,2023-08-05,도쿄,167626
49,2023-08-04,2023-08-05,도쿄,105142
50,2023-08-04,2023-08-05,도쿄,129718
51,2023-08-04,2023-08-05,도쿄,129342
52,2023-08-04,2023-08-05,도쿄,109822
53,2023-08-04,2023-08-05,도쿄,998772
54,2023-08-04,2023-08-05,도쿄,235317
55,2023-08-04,2023-08-05,도쿄,211919
56,2023-08-04,2023-08-05,도쿄,215632
57,2023-08-04,2023-08-05,도쿄,171345
58,2023-08-04,2023-08-05,도쿄,132178
59,2023-08-04,2023-08-05,도쿄,127046
60,2023-08-04,2023-08-05,도쿄,540729
61,2023-08-04,2023-08-05,도쿄,151871
62,2023-08-04,2023-08-05,도쿄,157380
63,2023-08-04,2023-08-05,도쿄,109993
64,2023-08-04,2023-08-05,도쿄,108146
65,2023-08-04,2023-08-05,도쿄,75886
66,2023-08-04,2023-08-05,도쿄,510689
67,2023-08-04,2023-08-05,도쿄,96645
68,2023-08-04,2023-08-05,도쿄,274120
69,2023-08-04,2023-08-05,도쿄,363490
70,2023-08-04,2023-08-05,도쿄,164311
71,2023-08-04,2023-08-05,도쿄,190317
72,2023-08-04,2023-08-05,도쿄,75101
73,2023-08-04,2023-08-05,도쿄,156943
74,2023-08-04,2023-08-05,도쿄,186452
75,2023-08-04,2023-08-05,도쿄,92167
76,2023-08-04,2023-08-05,도쿄,151867
77,2023-08-04,2023-08-05,도쿄,270364
78,2023-08-04,2023-08-05,도쿄,150206
79,2023-08-04,2023-08-05,도쿄,155636
80,2023-08-04,2023-08-05,도쿄,147449
81,2023-08-04,2023-08-05,도쿄,316427
82,2023-08-04,2023-08-05,도쿄,399815
83,2023-08-04,2023-08-05,도쿄,94066
84,2023-08-04,2023-08-05,도쿄,145543
85,2023-08-04,2023-08-05,도쿄,152170
86,2023-08-04,2023-08-05,도쿄,105713
87,2023-08-04,2023-08-05,도쿄,212787
88,2023-08-04,2023-08-05,도쿄,261373
89,2023-08-04,2023-08-05,도쿄,86291
90,2023-08-04,2023-08-05,도쿄,121375
91,2023-08-04,2023-08-05,도쿄,153373
92,2023-08-04,2023-08-05,도쿄,145194
93,2023-08-04,2023-08-05,도쿄,228927
94,2023-08-04,2023-08-05,도쿄,138815
95,2023-08-04,2023-08-05,도쿄,116822
96,2023-08-04,2023-08-05,도쿄,170780
97,2023-08-04,2023-08-05,도쿄,90805
98,2023-08-04,2023-08-05,도쿄,217732
99,2023-08-04,2023-08-05,도쿄,83294
