,checkin,checkout,location,price
0,2023-08-04,2023-08-05,마카오,178327
1,2023-08-04,2023-08-05,마카오,228395
2,2023-08-04,2023-08-05,마카오,242449
3,2023-08-04,2023-08-05,마카오,360193
4,2023-08-04,2023-08-05,마카오,317112
5,2023-08-04,2023-08-05,마카오,187873
6,2023-08-04,2023-08-05,마카오,203181
7,2023-08-04,2023-08-05,마카오,370477
8,2023-08-04,2023-08-05,마카오,206639
9,2023-08-04,2023-08-05,마카오,165867
10,2023-08-04,2023-08-05,마카오,191557
11,2023-08-04,2023-08-05,마카오,235250
12,2023-08-04,2023-08-05,마카오,147737
13,2023-08-04,2023-08-05,마카오,151141
14,2023-08-04,2023-08-05,마카오,159066
15,2023-08-04,2023-08-05,마카오,182620
16,2023-08-04,2023-08-05,마카오,116228
17,2023-08-04,2023-08-05,마카오,127864
18,2023-08-04,2023-08-05,마카오,421681
19,2023-08-04,2023-08-05,마카오,137339
20,2023-08-04,2023-08-05,마카오,197869
21,2023-08-04,2023-08-05,마카오,171284
22,2023-08-04,2023-08-05,마카오,272387
23,2023-08-04,2023-08-05,마카오,192203
24,2023-08-04,2023-08-05,마카오,348520
25,2023-08-04,2023-08-05,마카오,187674
26,2023-08-04,2023-08-05,마카오,1126661
27,2023-08-04,2023-08-05,마카오,347178
28,2023-08-04,2023-08-05,마카오,509208
29,2023-08-04,2023-08-05,마카오,490848
30,2023-08-04,2023-08-05,마카오,456069
31,2023-08-04,2023-08-05,마카오,977834
32,2023-08-04,2023-08-05,마카오,525309
33,2023-08-04,2023-08-05,마카오,541236
34,2023-08-04,2023-08-05,마카오,322357
35,2023-08-04,2023-08-05,마카오,347069
36,2023-08-04,2023-08-05,마카오,218785
37,2023-08-04,2023-08-05,마카오,329101
38,2023-08-04,2023-08-05,마카오,174284
39,2023-08-04,2023-08-05,마카오,179175
40,2023-08-04,2023-08-05,마카오,210765
