,checkin,checkout,location,price
0,2023-08-04,2023-08-05,방콕,118641
1,2023-08-04,2023-08-05,방콕,93554
2,2023-08-04,2023-08-05,방콕,62498
3,2023-08-04,2023-08-05,방콕,225418
4,2023-08-04,2023-08-05,방콕,73965
5,2023-08-04,2023-08-05,방콕,122849
6,2023-08-04,2023-08-05,방콕,190938
7,2023-08-04,2023-08-05,방콕,100103
8,2023-08-04,2023-08-05,방콕,74986
9,2023-08-04,2023-08-05,방콕,63787
10,2023-08-04,2023-08-05,방콕,42840
11,2023-08-04,2023-08-05,방콕,54909
12,2023-08-04,2023-08-05,방콕,71830
13,2023-08-04,2023-08-05,방콕,51817
14,2023-08-04,2023-08-05,방콕,116639
15,2023-08-04,2023-08-05,방콕,64081
16,2023-08-04,2023-08-05,방콕,42253
17,2023-08-04,2023-08-05,방콕,173850
18,2023-08-04,2023-08-05,방콕,80797
19,2023-08-04,2023-08-05,방콕,59410
20,2023-08-04,2023-08-05,방콕,39312
21,2023-08-04,2023-08-05,방콕,68144
22,2023-08-04,2023-08-05,방콕,38064
23,2023-08-04,2023-08-05,방콕,67567
24,2023-08-04,2023-08-05,방콕,71662
25,2023-08-04,2023-08-05,방콕,47605
26,2023-08-04,2023-08-05,방콕,183706
27,2023-08-04,2023-08-05,방콕,72059
28,2023-08-04,2023-08-05,방콕,110879
29,2023-08-04,2023-08-05,방콕,65047
30,2023-08-04,2023-08-05,방콕,117299
31,2023-08-04,2023-08-05,방콕,116046
32,2023-08-04,2023-08-05,방콕,209976
33,2023-08-04,2023-08-05,방콕,171739
34,2023-08-04,2023-08-05,방콕,34486
35,2023-08-04,2023-08-05,방콕,166838
36,2023-08-04,2023-08-05,방콕,61342
37,2023-08-04,2023-08-05,방콕,42105
38,2023-08-04,2023-08-05,방콕,32149
39,2023-08-04,2023-08-05,방콕,135510
40,2023-08-04,2023-08-05,방콕,65204
41,2023-08-04,2023-08-05,방콕,148301
42,2023-08-04,2023-08-05,방콕,92069
43,2023-08-04,2023-08-05,방콕,118641
44,2023-08-04,2023-08-05,방콕,90093
45,2023-08-04,2023-08-05,방콕,60567
46,2023-08-04,2023-08-05,방콕,102154
47,2023-08-04,2023-08-05,방콕,39689
48,2023-08-04,2023-08-05,방콕,41731
49,2023-08-04,2023-08-05,방콕,100106
50,2023-08-04,2023-08-05,방콕,36288
51,2023-08-04,2023-08-05,방콕,111226
52,2023-08-04,2023-08-05,방콕,113286
53,2023-08-04,2023-08-05,방콕,101861
54,2023-08-04,2023-08-05,방콕,176163
55,2023-08-04,2023-08-05,방콕,67435
56,2023-08-04,2023-08-05,방콕,62180
57,2023-08-04,2023-08-05,방콕,250925
58,2023-08-04,2023-08-05,방콕,133038
59,2023-08-04,2023-08-05,방콕,132359
60,2023-08-04,2023-08-05,방콕,174254
61,2023-08-04,2023-08-05,방콕,36855
62,2023-08-04,2023-08-05,방콕,102059
63,2023-08-04,2023-08-05,방콕,106747
64,2023-08-04,2023-08-05,방콕,281402
65,2023-08-04,2023-08-05,방콕,122348
66,2023-08-04,2023-08-05,방콕,76544
67,2023-08-04,2023-08-05,방콕,52448
68,2023-08-04,2023-08-05,방콕,193718
69,2023-08-04,2023-08-05,방콕,130324
70,2023-08-04,2023-08-05,방콕,78245
71,2023-08-04,2023-08-05,방콕,83049
72,2023-08-04,2023-08-05,방콕,236919
73,2023-08-04,2023-08-05,방콕,80083
74,2023-08-04,2023-08-05,방콕,97659
75,2023-08-04,2023-08-05,방콕,104404
76,2023-08-04,2023-08-05,방콕,75967
77,2023-08-04,2023-08-05,방콕,72576
78,2023-08-04,2023-08-05,방콕,129763
79,2023-08-04,2023-08-05,방콕,34542
80,2023-08-04,2023-08-05,방콕,98138
81,2023-08-04,2023-08-05,방콕,145335
82,2023-08-04,2023-08-05,방콕,56671
83,2023-08-04,2023-08-05,방콕,47250
84,2023-08-04,2023-08-05,방콕,22822
85,2023-08-04,2023-08-05,방콕,134779
86,2023-08-04,2023-08-05,방콕,59634
87,2023-08-04,2023-08-05,방콕,79253
88,2023-08-04,2023-08-05,방콕,125871
89,2023-08-04,2023-08-05,방콕,189195
90,2023-08-04,2023-08-05,방콕,181669
91,2023-08-04,2023-08-05,방콕,226159
92,2023-08-04,2023-08-05,방콕,70846
93,2023-08-04,2023-08-05,방콕,74390
94,2023-08-04,2023-08-05,방콕,107068
95,2023-08-04,2023-08-05,방콕,100831
96,2023-08-04,2023-08-05,방콕,278065
97,2023-08-04,2023-08-05,방콕,243540
98,2023-08-04,2023-08-05,방콕,37976
99,2023-08-04,2023-08-05,방콕,191847
