,checkin,checkout,location,price
0,2023-08-04,2023-08-05,오사카,171920
1,2023-08-04,2023-08-05,오사카,208615
2,2023-08-04,2023-08-05,오사카,186587
3,2023-08-04,2023-08-05,오사카,106202
4,2023-08-04,2023-08-05,오사카,105137
5,2023-08-04,2023-08-05,오사카,210611
6,2023-08-04,2023-08-05,오사카,269864
7,2023-08-04,2023-08-05,오사카,112645
8,2023-08-04,2023-08-05,오사카,100363
9,2023-08-04,2023-08-05,오사카,126771
10,2023-08-04,2023-08-05,오사카,130801
11,2023-08-04,2023-08-05,오사카,247834
12,2023-08-04,2023-08-05,오사카,149719
13,2023-08-04,2023-08-05,오사카,181477
14,2023-08-04,2023-08-05,오사카,465629
15,2023-08-04,2023-08-05,오사카,107092
16,2023-08-04,2023-08-05,오사카,438645
17,2023-08-04,2023-08-05,오사카,96130
18,2023-08-04,2023-08-05,오사카,237920
19,2023-08-04,2023-08-05,오사카,187862
20,2023-08-04,2023-08-05,오사카,95556
21,2023-08-04,2023-08-05,오사카,110549
22,2023-08-04,2023-08-05,오사카,61445
23,2023-08-04,2023-08-05,오사카,171920
24,2023-08-04,2023-08-05,오사카,93305
25,2023-08-04,2023-08-05,오사카,74350
26,2023-08-04,2023-08-05,오사카,96945
27,2023-08-04,2023-08-05,오사카,270360
28,2023-08-04,2023-08-05,오사카,180243
29,2023-08-04,2023-08-05,오사카,107988
30,2023-08-04,2023-08-05,오사카,76353
31,2023-08-04,2023-08-05,오사카,103169
32,2023-08-04,2023-08-05,오사카,102411
33,2023-08-04,2023-08-05,오사카,288681
34,2023-08-04,2023-08-05,오사카,83294
35,2023-08-04,2023-08-05,오사카,269864
36,2023-08-04,2023-08-05,오사카,126170
37,2023-08-04,2023-08-05,오사카,410771
38,2023-08-04,2023-08-05,오사카,386922
39,2023-08-04,2023-08-05,오사카,290346
40,2023-08-04,2023-08-05,오사카,76770
41,2023-08-04,2023-08-05,오사카,145368
42,2023-08-04,2023-08-05,오사카,130564
43,2023-08-04,2023-08-05,오사카,95563
44,2023-08-04,2023-08-05,오사카,90414
45,2023-08-04,2023-08-05,오사카,93113
46,2023-08-04,2023-08-05,오사카,164060
47,2023-08-04,2023-08-05,오사카,102411
48,2023-08-04,2023-08-05,오사카,128357
49,2023-08-04,2023-08-05,오사카,210611
50,2023-08-04,2023-08-05,오사카,135483
51,2023-08-04,2023-08-05,오사카,76461
52,2023-08-04,2023-08-05,오사카,250338
53,2023-08-04,2023-08-05,오사카,75101
54,2023-08-04,2023-08-05,오사카,194320
55,2023-08-04,2023-08-05,오사카,83903
56,2023-08-04,2023-08-05,오사카,136751
57,2023-08-04,2023-08-05,오사카,105989
58,2023-08-04,2023-08-05,오사카,137245
59,2023-08-04,2023-08-05,오사카,663186
60,2023-08-04,2023-08-05,오사카,375405
61,2023-08-04,2023-08-05,오사카,65956
62,2023-08-04,2023-08-05,오사카,104090
63,2023-08-04,2023-08-05,오사카,254510
64,2023-08-04,2023-08-05,오사카,124817
65,2023-08-04,2023-08-05,오사카,89821
66,2023-08-04,2023-08-05,오사카,103169
67,2023-08-04,2023-08-05,오사카,208615
68,2023-08-04,2023-08-05,오사카,96130
69,2023-08-04,2023-08-05,오사카,160216
70,2023-08-04,2023-08-05,오사카,156044
71,2023-08-04,2023-08-05,오사카,244496
72,2023-08-04,2023-08-05,오사카,156044
73,2023-08-04,2023-08-05,오사카,143686
74,2023-08-04,2023-08-05,오사카,80106
75,2023-08-04,2023-08-05,오사카,148534
76,2023-08-04,2023-08-05,오사카,67174
77,2023-08-04,2023-08-05,오사카,81776
78,2023-08-04,2023-08-05,오사카,59663
79,2023-08-04,2023-08-05,오사카,134431
80,2023-08-04,2023-08-05,오사카,108478
81,2023-08-04,2023-08-05,오사카,247834
82,2023-08-04,2023-08-05,오사카,111817
83,2023-08-04,2023-08-05,오사카,218213
84,2023-08-04,2023-08-05,오사카,83294
85,2023-08-04,2023-08-05,오사카,578280
86,2023-08-04,2023-08-05,오사카,111773
87,2023-08-04,2023-08-05,오사카,156044
88,2023-08-04,2023-08-05,오사카,323163
89,2023-08-04,2023-08-05,오사카,93311
90,2023-08-04,2023-08-05,오사카,348296
91,2023-08-04,2023-08-05,오사카,77829
92,2023-08-04,2023-08-05,오사카,133430
93,2023-08-04,2023-08-05,오사카,168186
94,2023-08-04,2023-08-05,오사카,150277
95,2023-08-04,2023-08-05,오사카,82085
96,2023-08-04,2023-08-05,오사카,107477
97,2023-08-04,2023-08-05,오사카,167650
98,2023-08-04,2023-08-05,오사카,144992
99,2023-08-04,2023-08-05,오사카,121664
