,checkin,checkout,location,price
0,2023-08-04,2023-08-05,오키나와,168894
1,2023-08-04,2023-08-05,오키나와,91790
2,2023-08-04,2023-08-05,오키나와,68007
3,2023-08-04,2023-08-05,오키나와,240324
4,2023-08-04,2023-08-05,오키나와,176981
5,2023-08-04,2023-08-05,오키나와,91790
6,2023-08-04,2023-08-05,오키나와,50987
7,2023-08-04,2023-08-05,오키나와,91790
8,2023-08-04,2023-08-05,오키나와,275068
9,2023-08-04,2023-08-05,오키나와,751013
10,2023-08-04,2023-08-05,오키나와,168894
11,2023-08-04,2023-08-05,오키나와,555929
12,2023-08-04,2023-08-05,오키나와,531604
13,2023-08-04,2023-08-05,오키나와,550743
14,2023-08-04,2023-08-05,오키나와,241878
15,2023-08-04,2023-08-05,오키나와,146029
16,2023-08-04,2023-08-05,오키나와,487388
17,2023-08-04,2023-08-05,오키나와,99092
18,2023-08-04,2023-08-05,오키나와,142149
19,2023-08-04,2023-08-05,오키나와,96628
20,2023-08-04,2023-08-05,오키나와,86817
21,2023-08-04,2023-08-05,오키나와,538927
22,2023-08-04,2023-08-05,오키나와,780219
23,2023-08-04,2023-08-05,오키나와,468131
24,2023-08-04,2023-08-05,오키나와,150203
25,2023-08-04,2023-08-05,오키나와,87101
26,2023-08-04,2023-08-05,오키나와,492318
27,2023-08-04,2023-08-05,오키나와,157421
28,2023-08-04,2023-08-05,오키나와,180543
29,2023-08-04,2023-08-05,오키나와,1123155
30,2023-08-04,2023-08-05,오키나와,743503
31,2023-08-04,2023-08-05,오키나와,294947
32,2023-08-04,2023-08-05,오키나와,99092
33,2023-08-04,2023-08-05,오키나와,660891
34,2023-08-04,2023-08-05,오키나와,488289
35,2023-08-04,2023-08-05,오키나와,732839
36,2023-08-04,2023-08-05,오키나와,181063
37,2023-08-04,2023-08-05,오키나와,108643
38,2023-08-04,2023-08-05,오키나와,61913
39,2023-08-04,2023-08-05,오키나와,50987
40,2023-08-04,2023-08-05,오키나와,322373
41,2023-08-04,2023-08-05,오키나와,60439
42,2023-08-04,2023-08-05,오키나와,438728
43,2023-08-04,2023-08-05,오키나와,495088
44,2023-08-04,2023-08-05,오키나와,83446
45,2023-08-04,2023-08-05,오키나와,365746
46,2023-08-04,2023-08-05,오키나와,210884
47,2023-08-04,2023-08-05,오키나와,285385
48,2023-08-04,2023-08-05,오키나와,222468
49,2023-08-04,2023-08-05,오키나와,590797
50,2023-08-04,2023-08-05,오키나와,402900
51,2023-08-04,2023-08-05,오키나와,115539
52,2023-08-04,2023-08-05,오키나와,62133
53,2023-08-04,2023-08-05,오키나와,113744
54,2023-08-04,2023-08-05,오키나와,566669
55,2023-08-04,2023-08-05,오키나와,627690
56,2023-08-04,2023-08-05,오키나와,690347
57,2023-08-04,2023-08-05,오키나와,885522
58,2023-08-04,2023-08-05,오키나와,367162
59,2023-08-04,2023-08-05,오키나와,263246
60,2023-08-04,2023-08-05,오키나와,855093
61,2023-08-04,2023-08-05,오키나와,295252
62,2023-08-04,2023-08-05,오키나와,193451
63,2023-08-04,2023-08-05,오키나와,461657
64,2023-08-04,2023-08-05,오키나와,867420
65,2023-08-04,2023-08-05,오키나와,140274
66,2023-08-04,2023-08-05,오키나와,397663
67,2023-08-04,2023-08-05,오키나와,121384
68,2023-08-04,2023-08-05,오키나와,911378
69,2023-08-04,2023-08-05,오키나와,456616
70,2023-08-04,2023-08-05,오키나와,477310
71,2023-08-04,2023-08-05,오키나와,312088
72,2023-08-04,2023-08-05,오키나와,80078
73,2023-08-04,2023-08-05,오키나와,113132
74,2023-08-04,2023-08-05,오키나와,818587
75,2023-08-04,2023-08-05,오키나와,53835
76,2023-08-04,2023-08-05,오키나와,145084
77,2023-08-04,2023-08-05,오키나와,274689
78,2023-08-04,2023-08-05,오키나와,1160658
79,2023-08-04,2023-08-05,오키나와,247815
80,2023-08-04,2023-08-05,오키나와,386209
81,2023-08-04,2023-08-05,오키나와,66199
82,2023-08-04,2023-08-05,오키나와,124835
83,2023-08-04,2023-08-05,오키나와,70927
84,2023-08-04,2023-08-05,오키나와,114151
85,2023-08-04,2023-08-05,오키나와,127676
86,2023-08-04,2023-08-05,오키나와,730415
87,2023-08-04,2023-08-05,오키나와,658464
88,2023-08-04,2023-08-05,오키나와,243151
89,2023-08-04,2023-08-05,오키나와,314967
90,2023-08-04,2023-08-05,오키나와,91991
91,2023-08-04,2023-08-05,오키나와,172226
92,2023-08-04,2023-08-05,오키나와,191527
93,2023-08-04,2023-08-05,오키나와,418386
94,2023-08-04,2023-08-05,오키나와,337956
95,2023-08-04,2023-08-05,오키나와,439758
96,2023-08-04,2023-08-05,오키나와,148208
97,2023-08-04,2023-08-05,오키나와,95924
98,2023-08-04,2023-08-05,오키나와,881189
99,2023-08-04,2023-08-05,오키나와,236682
