,checkin,checkout,location,price
0,2023-08-04,2023-08-05,하노이,83579
1,2023-08-04,2023-08-05,하노이,140345
2,2023-08-04,2023-08-05,하노이,40461
3,2023-08-04,2023-08-05,하노이,60396
4,2023-08-04,2023-08-05,하노이,84353
5,2023-08-04,2023-08-05,하노이,220234
6,2023-08-04,2023-08-05,하노이,73441
7,2023-08-04,2023-08-05,하노이,38556
8,2023-08-04,2023-08-05,하노이,98986
9,2023-08-04,2023-08-05,하노이,59406
10,2023-08-04,2023-08-05,하노이,77070
11,2023-08-04,2023-08-05,하노이,76663
12,2023-08-04,2023-08-05,하노이,52195
13,2023-08-04,2023-08-05,하노이,97415
14,2023-08-04,2023-08-05,하노이,94740
15,2023-08-04,2023-08-05,하노이,90965
16,2023-08-04,2023-08-05,하노이,150303
17,2023-08-04,2023-08-05,하노이,65931
18,2023-08-04,2023-08-05,하노이,68545
19,2023-08-04,2023-08-05,하노이,84772
20,2023-08-04,2023-08-05,하노이,172468
21,2023-08-04,2023-08-05,하노이,85061
22,2023-08-04,2023-08-05,하노이,78826
23,2023-08-04,2023-08-05,하노이,99809
24,2023-08-04,2023-08-05,하노이,172468
25,2023-08-04,2023-08-05,하노이,49064
26,2023-08-04,2023-08-05,하노이,72598
27,2023-08-04,2023-08-05,하노이,51194
28,2023-08-04,2023-08-05,하노이,180430
29,2023-08-04,2023-08-05,하노이,81997
30,2023-08-04,2023-08-05,하노이,71401
31,2023-08-04,2023-08-05,하노이,41650
32,2023-08-04,2023-08-05,하노이,78183
33,2023-08-04,2023-08-05,하노이,71204
34,2023-08-04,2023-08-05,하노이,85956
35,2023-08-04,2023-08-05,하노이,46339
36,2023-08-04,2023-08-05,하노이,56942
37,2023-08-04,2023-08-05,하노이,30845
38,2023-08-04,2023-08-05,하노이,138288
39,2023-08-04,2023-08-05,하노이,118754
40,2023-08-04,2023-08-05,하노이,47220
41,2023-08-04,2023-08-05,하노이,79522
42,2023-08-04,2023-08-05,하노이,129683
43,2023-08-04,2023-08-05,하노이,50266
44,2023-08-04,2023-08-05,하노이,226712
45,2023-08-04,2023-08-05,하노이,65974
46,2023-08-04,2023-08-05,하노이,71214
47,2023-08-04,2023-08-05,하노이,88537
48,2023-08-04,2023-08-05,하노이,366782
49,2023-08-04,2023-08-05,하노이,77487
50,2023-08-04,2023-08-05,하노이,95234
51,2023-08-04,2023-08-05,하노이,46208
52,2023-08-04,2023-08-05,하노이,121939
53,2023-08-04,2023-08-05,하노이,139231
54,2023-08-04,2023-08-05,하노이,151141
55,2023-08-04,2023-08-05,하노이,84383
56,2023-08-04,2023-08-05,하노이,54536
57,2023-08-04,2023-08-05,하노이,38913
58,2023-08-04,2023-08-05,하노이,59977
59,2023-08-04,2023-08-05,하노이,56002
60,2023-08-04,2023-08-05,하노이,78541
61,2023-08-04,2023-08-05,하노이,56645
62,2023-08-04,2023-08-05,하노이,72679
63,2023-08-04,2023-08-05,하노이,91393
64,2023-08-04,2023-08-05,하노이,76596
65,2023-08-04,2023-08-05,하노이,29988
66,2023-08-04,2023-08-05,하노이,61780
67,2023-08-04,2023-08-05,하노이,47317
68,2023-08-04,2023-08-05,하노이,103560
69,2023-08-04,2023-08-05,하노이,72890
70,2023-08-04,2023-08-05,하노이,71401
71,2023-08-04,2023-08-05,하노이,118754
72,2023-08-04,2023-08-05,하노이,43316
73,2023-08-04,2023-08-05,하노이,186202
74,2023-08-04,2023-08-05,하노이,80969
75,2023-08-04,2023-08-05,하노이,136031
76,2023-08-04,2023-08-05,하노이,73401
77,2023-08-04,2023-08-05,하노이,28918
78,2023-08-04,2023-08-05,하노이,87667
79,2023-08-04,2023-08-05,하노이,80086
80,2023-08-04,2023-08-05,하노이,48273
81,2023-08-04,2023-08-05,하노이,173151
82,2023-08-04,2023-08-05,하노이,83579
83,2023-08-04,2023-08-05,하노이,53353
84,2023-08-04,2023-08-05,하노이,55312
85,2023-08-04,2023-08-05,하노이,82253
86,2023-08-04,2023-08-05,하노이,106834
87,2023-08-04,2023-08-05,하노이,81397
88,2023-08-04,2023-08-05,하노이,92535
89,2023-08-04,2023-08-05,하노이,89965
90,2023-08-04,2023-08-05,하노이,55692
91,2023-08-04,2023-08-05,하노이,75202
92,2023-08-04,2023-08-05,하노이,40295
93,2023-08-04,2023-08-05,하노이,70806
94,2023-08-04,2023-08-05,하노이,162853
95,2023-08-04,2023-08-05,하노이,187070
96,2023-08-04,2023-08-05,하노이,41084
97,2023-08-04,2023-08-05,하노이,140345
98,2023-08-04,2023-08-05,하노이,73411
99,2023-08-04,2023-08-05,하노이,130173
