,checkin,checkout,location,price
0,2023-08-04,2023-08-05,후쿠오카,353724
1,2023-08-04,2023-08-05,후쿠오카,274871
2,2023-08-04,2023-08-05,후쿠오카,167953
3,2023-08-04,2023-08-05,후쿠오카,172961
4,2023-08-04,2023-08-05,후쿠오카,382307
5,2023-08-04,2023-08-05,후쿠오카,862831
6,2023-08-04,2023-08-05,후쿠오카,211878
7,2023-08-04,2023-08-05,후쿠오카,312446
8,2023-08-04,2023-08-05,후쿠오카,325159
9,2023-08-04,2023-08-05,후쿠오카,219972
10,2023-08-04,2023-08-05,후쿠오카,194996
11,2023-08-04,2023-08-05,후쿠오카,258035
12,2023-08-04,2023-08-05,후쿠오카,862831
13,2023-08-04,2023-08-05,후쿠오카,216292
14,2023-08-04,2023-08-05,후쿠오카,172232
15,2023-08-04,2023-08-05,후쿠오카,160403
16,2023-08-04,2023-08-05,후쿠오카,353724
17,2023-08-04,2023-08-05,후쿠오카,247834
18,2023-08-04,2023-08-05,후쿠오카,247834
19,2023-08-04,2023-08-05,후쿠오카,350473
20,2023-08-04,2023-08-05,후쿠오카,277768
21,2023-08-04,2023-08-05,후쿠오카,330446
22,2023-08-04,2023-08-05,후쿠오카,211452
23,2023-08-04,2023-08-05,후쿠오카,274871
24,2023-08-04,2023-08-05,후쿠오카,247834
25,2023-08-04,2023-08-05,후쿠오카,223914
26,2023-08-04,2023-08-05,후쿠오카,208915
27,2023-08-04,2023-08-05,후쿠오카,259441
28,2023-08-04,2023-08-05,후쿠오카,211878
29,2023-08-04,2023-08-05,후쿠오카,508384
30,2023-08-04,2023-08-05,후쿠오카,257999
31,2023-08-04,2023-08-05,후쿠오카,249472
32,2023-08-04,2023-08-05,후쿠오카,184249
33,2023-08-04,2023-08-05,후쿠오카,291947
34,2023-08-04,2023-08-05,후쿠오카,176146
35,2023-08-04,2023-08-05,후쿠오카,175464
36,2023-08-04,2023-08-05,후쿠오카,852669
37,2023-08-04,2023-08-05,후쿠오카,188224
38,2023-08-04,2023-08-05,후쿠오카,155938
39,2023-08-04,2023-08-05,후쿠오카,361093
40,2023-08-04,2023-08-05,후쿠오카,321276
41,2023-08-04,2023-08-05,후쿠오카,207977
42,2023-08-04,2023-08-05,후쿠오카,227952
43,2023-08-04,2023-08-05,후쿠오카,196549
44,2023-08-04,2023-08-05,후쿠오카,372842
45,2023-08-04,2023-08-05,후쿠오카,302208
46,2023-08-04,2023-08-05,후쿠오카,193761
47,2023-08-04,2023-08-05,후쿠오카,228301
48,2023-08-04,2023-08-05,후쿠오카,170115
49,2023-08-04,2023-08-05,후쿠오카,154300
50,2023-08-04,2023-08-05,후쿠오카,236544
51,2023-08-04,2023-08-05,후쿠오카,197992
52,2023-08-04,2023-08-05,후쿠오카,212446
53,2023-08-04,2023-08-05,후쿠오카,208614
54,2023-08-04,2023-08-05,후쿠오카,262020
55,2023-08-04,2023-08-05,후쿠오카,306413
56,2023-08-04,2023-08-05,후쿠오카,151674
57,2023-08-04,2023-08-05,후쿠오카,200268
58,2023-08-04,2023-08-05,후쿠오카,153841
59,2023-08-04,2023-08-05,후쿠오카,271360
60,2023-08-04,2023-08-05,후쿠오카,347694
61,2023-08-04,2023-08-05,후쿠오카,201664
62,2023-08-04,2023-08-05,후쿠오카,187748
63,2023-08-04,2023-08-05,후쿠오카,253837
64,2023-08-04,2023-08-05,후쿠오카,552433
65,2023-08-04,2023-08-05,후쿠오카,174778
66,2023-08-04,2023-08-05,후쿠오카,136184
67,2023-08-04,2023-08-05,후쿠오카,253837
68,2023-08-04,2023-08-05,후쿠오카,160849
69,2023-08-04,2023-08-05,후쿠오카,243658
70,2023-08-04,2023-08-05,후쿠오카,229476
71,2023-08-04,2023-08-05,후쿠오카,135183
72,2023-08-04,2023-08-05,후쿠오카,693936
73,2023-08-04,2023-08-05,후쿠오카,181056
74,2023-08-04,2023-08-05,후쿠오카,151867
75,2023-08-04,2023-08-05,후쿠오카,250338
76,2023-08-04,2023-08-05,후쿠오카,235249
77,2023-08-04,2023-08-05,후쿠오카,297678
78,2023-08-04,2023-08-05,후쿠오카,388858
79,2023-08-04,2023-08-05,후쿠오카,240324
80,2023-08-04,2023-08-05,후쿠오카,252340
81,2023-08-04,2023-08-05,후쿠오카,312271
82,2023-08-04,2023-08-05,후쿠오카,160633
83,2023-08-04,2023-08-05,후쿠오카,151535
84,2023-08-04,2023-08-05,후쿠오카,201647
85,2023-08-04,2023-08-05,후쿠오카,484659
86,2023-08-04,2023-08-05,후쿠오카,312922
87,2023-08-04,2023-08-05,후쿠오카,250726
88,2023-08-04,2023-08-05,후쿠오카,317094
89,2023-08-04,2023-08-05,후쿠오카,406595
90,2023-08-04,2023-08-05,후쿠오카,257956
91,2023-08-04,2023-08-05,후쿠오카,159376
92,2023-08-04,2023-08-05,후쿠오카,252340
93,2023-08-04,2023-08-05,후쿠오카,310488
94,2023-08-04,2023-08-05,후쿠오카,214166
95,2023-08-04,2023-08-05,후쿠오카,229604
96,2023-08-04,2023-08-05,후쿠오카,492927
97,2023-08-04,2023-08-05,후쿠오카,203146
98,2023-08-04,2023-08-05,후쿠오카,376709
99,2023-08-04,2023-08-05,후쿠오카,184018
